Video, Frame ID, matches, match percent, time_ms, setting 
../Data/Video_Data/Solo_Pillar.mkv, 0, -1, -1, -1, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 1, 13, 76.4706, 1, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 2, 14, 77.7778, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 3, 10, 47.619, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 4, 8, 66.6667, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 5, 10, 76.9231, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 6, 11, 68.75, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 7, 11, 64.7059, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 8, 12, 75, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 9, 11, 68.75, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 10, 12, 92.3077, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 11, 17, 80.9524, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 12, 16, 76.1905, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 13, 13, 59.0909, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 14, 12, 92.3077, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 15, 11, 57.8947, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 16, 12, 70.5882, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 17, 13, 86.6667, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 18, 15, 62.5, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 19, 15, 71.4286, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 20, 15, 78.9474, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 21, 17, 85, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 22, 16, 76.1905, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 23, 18, 85.7143, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 24, 14, 70, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 25, 11, 73.3333, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 26, 12, 80, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 27, 7, 58.3333, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 28, 7, 70, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 29, 10, 66.6667, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 30, 9, 64.2857, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 31, 9, 75, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 32, 10, 71.4286, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 33, 10, 83.3333, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 34, 11, 61.1111, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 35, 9, 60, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 36, 8, 72.7273, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 37, 9, 81.8182, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 38, 8, 72.7273, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 39, 8, 88.8889, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 40, 7, 63.6364, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 41, 6, 60, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 42, 4, 50, 1, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 43, 5, 100, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 44, 6, 54.5455, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 45, 6, 85.7143, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 46, 5, 62.5, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 47, 4, 66.6667, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 48, 5, 100, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 49, 8, 100, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 50, 5, 45.4545, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 51, 5, 71.4286, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 52, 3, 42.8571, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 53, 4, 100, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 54, 5, 83.3333, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 55, 7, 77.7778, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 56, 5, 71.4286, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 57, 3, 50, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 58, 5, 83.3333, 1, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 59, 4, 57.1429, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 60, 3, 50, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 61, 2, 40, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 62, 2, 50, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 63, 4, 80, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 64, 5, 71.4286, 0, Chosen setting
../Data/Video_Data/Solo_Pillar.mkv, 65, 3, 60, 0, Chosen setting
