Video, Frame ID, matches, match percent, time_ms, patch
../Data/Video_Data/Solo_Pillar.mkv, 0, -1, -1, -1, 10
../Data/Video_Data/Solo_Pillar.mkv, 1, 15, 75, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 2, 13, 61.9048, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 3, 10, 45.4545, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 4, 9, 64.2857, 1, 10
../Data/Video_Data/Solo_Pillar.mkv, 5, 11, 73.3333, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 6, 11, 64.7059, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 7, 12, 63.1579, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 8, 10, 52.6316, 1, 10
../Data/Video_Data/Solo_Pillar.mkv, 9, 11, 57.8947, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 10, 14, 87.5, 1, 10
../Data/Video_Data/Solo_Pillar.mkv, 11, 16, 64, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 12, 15, 60, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 13, 12, 48, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 14, 10, 62.5, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 15, 12, 57.1429, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 16, 10, 50, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 17, 11, 61.1111, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 18, 14, 51.8519, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 19, 13, 54.1667, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 20, 14, 63.6364, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 21, 16, 66.6667, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 22, 13, 52, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 23, 18, 75, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 24, 11, 45.8333, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 25, 12, 70.5882, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 26, 11, 61.1111, 1, 10
../Data/Video_Data/Solo_Pillar.mkv, 27, 8, 53.3333, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 28, 9, 75, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 29, 13, 68.4211, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 30, 13, 68.4211, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 31, 10, 58.8235, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 32, 12, 75, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 33, 13, 81.25, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 34, 13, 59.0909, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 35, 9, 52.9412, 1, 10
../Data/Video_Data/Solo_Pillar.mkv, 36, 10, 76.9231, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 37, 10, 76.9231, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 38, 10, 66.6667, 1, 10
