Video, Frame ID, matches, match percent, time_ms, brief_points
../Data/Video_Data/Wall_Indents_Top.mkv, 74, 136, 37.5691, 4, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 75, 140, 38.3562, 3, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 76, 140, 42.1687, 3, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 77, 134, 41.358, 2, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 78, 113, 36.8078, 2, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 79, 126, 44.2105, 2, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 80, 104, 35.8621, 2, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 81, 106, 43.0894, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 82, 84, 38.5321, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 83, 68, 37.5691, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 84, 79, 43.8889, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 85, 83, 43.0052, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 86, 81, 43.5484, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 87, 80, 42.328, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 88, 88, 43.3498, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 89, 83, 44.6237, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 90, 96, 44.6512, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 91, 76, 30.8943, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 92, 72, 41.6185, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 93, 71, 40.113, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 94, 71, 37.3684, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 95, 75, 42.8571, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 96, 70, 38.8889, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 97, 84, 45.4054, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 98, 73, 41.954, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 99, 85, 46.7033, 1, 2
../Data/Video_Data/Wall_Indents_Top.mkv, 0, -1, -1, -1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 1, 83, 31.0861, 3, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 2, 86, 28.4768, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 3, 70, 24.3902, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 4, 67, 24.2754, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 5, 71, 25.6318, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 6, 84, 31.1111, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 7, 74, 25.9649, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 8, 69, 22.3301, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 9, 74, 25.1701, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 10, 69, 24.3816, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 11, 61, 23.2824, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 12, 51, 23.2877, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 13, 52, 28.4153, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 14, 50, 25, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 15, 59, 32.0652, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 16, 53, 30.1136, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 17, 45, 23.4375, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 18, 59, 31.383, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 19, 43, 23.4973, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 20, 45, 29.2208, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 21, 40, 24.3902, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 22, 45, 29.2208, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 23, 55, 28.2051, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 24, 55, 28.6458, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 25, 63, 31.3433, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 26, 75, 30.4878, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 27, 66, 28.5714, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 28, 65, 29.0179, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 29, 68, 32.8502, 0, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 30, 69, 26.7442, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 31, 72, 28.125, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 32, 77, 32.6271, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 33, 83, 30.855, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 34, 93, 33.4532, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 35, 93, 28.882, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 36, 108, 31.1239, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 37, 112, 32.4638, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 38, 97, 28.2799, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 39, 85, 25.6798, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 40, 103, 29.5977, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 41, 114, 31.8436, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 42, 93, 25.3406, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 43, 95, 29.052, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 44, 95, 25.7453, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 45, 107, 31.1953, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 46, 118, 31.9783, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 47, 114, 30.4813, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 48, 99, 24.0291, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 49, 110, 32.3529, 3, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 50, 117, 33.6207, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 51, 110, 28.3505, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 52, 104, 26.1307, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 53, 104, 26.8041, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 54, 113, 30.8743, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 55, 109, 28.0928, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 56, 113, 31.3889, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 57, 88, 26.506, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 58, 96, 27.5072, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 59, 97, 27.1709, 3, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 60, 85, 30.7971, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 61, 104, 30.0578, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 62, 84, 25.9259, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 63, 98, 33.1081, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 64, 96, 31.068, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 65, 101, 34.9481, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 66, 87, 28.8079, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 67, 81, 26.3844, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 68, 89, 26.7267, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 69, 84, 26.1682, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 70, 100, 32.3625, 3, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 71, 120, 33.3333, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 72, 113, 28.6802, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 73, 116, 35.3659, 1, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 74, 111, 30.663, 2, 3
../Data/Video_Data/Wall_Indents_Top.mkv, 75, 107, 29.3151, 1, 3
