Video, Frame ID, matches, match percent, time_ms, patch
../Data/Video_Data/Wall_Indents_Top.mkv, 74, 121, 28.271, 6, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 75, 118, 27.3148, 5, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 76, 113, 29.5039, 4, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 77, 110, 28.8714, 4, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 78, 100, 26.738, 5, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 79, 90, 25.4958, 5, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 80, 92, 25.5556, 3, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 81, 73, 23.5484, 2, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 82, 61, 21.9424, 2, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 83, 74, 30.3279, 2, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 84, 73, 30.9322, 1, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 85, 67, 27.459, 1, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 86, 80, 33.6134, 1, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 87, 82, 33.7449, 2, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 88, 78, 28.2609, 5, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 89, 87, 34.9398, 2, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 90, 102, 34.3434, 3, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 91, 83, 26.1006, 2, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 92, 73, 30.8017, 1, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 93, 69, 27.381, 1, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 94, 73, 27.9693, 1, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 95, 70, 30.7018, 1, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 96, 68, 28.5714, 1, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 97, 71, 29.9578, 1, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 98, 54, 23.176, 1, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 99, 68, 29.3103, 1, 10
../Data/Video_Data/Wall_Indents_Top.mkv, 0, -1, -1, -1, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 1, 98, 30.8176, 3, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 2, 102, 29.4798, 3, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 3, 101, 29.7059, 4, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 4, 95, 29.052, 3, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 5, 101, 30.6991, 3, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 6, 90, 28.5714, 3, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 7, 98, 30.1538, 3, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 8, 100, 28.0899, 3, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 9, 95, 28.6145, 3, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 10, 80, 24.4648, 3, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 11, 84, 27.0968, 2, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 12, 58, 21.5613, 1, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 13, 64, 29.3578, 1, 11
../Data/Video_Data/Wall_Indents_Top.mkv, 14, 62, 25.7261, 1, 11
