Video, Frame ID, hole count, invalid_percentage, incomplete, consitensy_level, time_spent_ms,  Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,40, 11, 24.3816, 0.5, 100,1053, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,41, 25, 23.9283, 0, 100,970, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,42, 17, 23.6071, 0, 100,968, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,43, 14, 24.7271, 0, 100,961, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,44, 21, 26.044, 0, 100,961, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,45, 22, 24.9877, 0, 100,957, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,46, 16, 25.5208, 0, 100,1012, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,47, 19, 25.6589, 0, 100,954, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,48, 21, 24.6759, 0, 100,954, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,49, 22, 25.0586, 0, 100,971, Consistensy_weighted_median
