Video, Frame ID, matches, match percent, time_ms, setting 
../Data/Video_Data/Tank_With_Pipe_2.mkv, 65, 67, 68.3673, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 66, 68, 78.1609, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 67, 65, 77.381, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 68, 69, 78.4091, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 69, 72, 73.4694, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 70, 76, 83.5165, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 71, 75, 70.7547, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 72, 74, 66.0714, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 73, 81, 71.0526, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 74, 82, 67.2131, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 75, 106, 77.9412, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 76, 130, 68.4211, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 77, 145, 64.4444, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 78, 164, 64.5669, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 79, 162, 60.6742, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 80, 155, 65.1261, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 81, 152, 63.3333, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 82, 160, 65.3061, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 83, 170, 65.6371, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 84, 172, 65.1515, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 85, 165, 60.4396, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 86, 160, 62.5, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 87, 167, 63.2576, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 88, 161, 61.4504, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 89, 172, 67.451, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 90, 170, 64.3939, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 91, 160, 57.1429, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 92, 158, 61.2403, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 93, 173, 66.2835, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 94, 157, 60.6178, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 95, 141, 57.085, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 96, 105, 50.7246, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 97, 105, 66.0377, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 98, 81, 61.3636, 0, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 99, 60, 54.5455, 0, Chosen setting
