Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), number_octaves
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 564, 426, 75.5319, 326, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 1014, 905, 89.2505, 346, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 873, 778, 89.118, 350, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 929, 804, 86.5447, 334, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 293, 162, 55.2901, 352, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 305, 219, 71.8033, 332, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 68, 66, 97.0588, 359, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 51, 50, 98.0392, 309, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 54, 52, 96.2963, 323, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 18, 14, 77.7778, 366, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 159, 123, 77.3585, 347, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 202, 189, 93.5644, 308, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 464, 457, 98.4914, 325, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 1076, 1076, 100, 355, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 3291, 3222, 97.9034, 337, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 2443, 2256, 92.3455, 371, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,25, 1688, 1633, 96.7417, 363, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,26, 2567, 2520, 98.1691, 353, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,27, 2047, 1795, 87.6893, 355, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,28, 1168, 1151, 98.5445, 343, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,29, 2068, 2059, 99.5648, 364, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,30, 1291, 1257, 97.3664, 361, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,31, 1071, 1071, 100, 319, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,32, 405, 369, 91.1111, 355, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,33, 436, 404, 92.6606, 319, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,34, 574, 550, 95.8188, 334, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 353, 324, 91.7847, 348, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 808, 758, 93.8119, 326, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 789, 704, 89.2269, 338, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,38, 681, 668, 98.091, 343, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,39, 222, 197, 88.7387, 337, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,40, 144, 108, 75, 349, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,41, 78, 55, 70.5128, 352, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,42, 112, 102, 91.0714, 346, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,43, 134, 49, 36.5672, 364, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,44, 2421, 1462, 60.3883, 330, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,45, 1479, 909, 61.4604, 350, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,46, 949, 503, 53.0032, 346, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,47, 669, 453, 67.713, 361, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,48, 583, 487, 83.5334, 335, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,49, 1098, 1018, 92.714, 353, 8
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 11, 7, 63.6364, 359, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 33, 31, 93.9394, 366, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 218, 218, 100, 363, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 252, 247, 98.0159, 364, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 576, 571, 99.1319, 351, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 505, 504, 99.802, 317, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 883, 877, 99.3205, 364, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 1339, 1228, 91.7102, 327, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 1646, 1516, 92.1021, 363, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 564, 426, 75.5319, 362, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 1014, 905, 89.2505, 348, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 873, 778, 89.118, 363, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 929, 804, 86.5447, 359, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 293, 162, 55.2901, 365, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 305, 219, 71.8033, 364, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 68, 66, 97.0588, 326, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 51, 50, 98.0392, 363, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 54, 52, 96.2963, 358, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 18, 14, 77.7778, 331, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 159, 123, 77.3585, 350, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 202, 189, 93.5644, 362, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 464, 457, 98.4914, 355, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 1076, 1076, 100, 350, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 3291, 3222, 97.9034, 365, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 2443, 2256, 92.3455, 312, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,25, 1688, 1633, 96.7417, 368, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,26, 2567, 2520, 98.1691, 359, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,27, 2047, 1795, 87.6893, 357, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,28, 1168, 1151, 98.5445, 356, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,29, 2068, 2059, 99.5648, 355, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,30, 1291, 1257, 97.3664, 363, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,31, 1071, 1071, 100, 357, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,32, 405, 369, 91.1111, 345, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,33, 436, 404, 92.6606, 350, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,34, 574, 550, 95.8188, 368, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 353, 324, 91.7847, 351, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 808, 758, 93.8119, 362, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 789, 704, 89.2269, 364, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,38, 681, 668, 98.091, 366, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,39, 222, 197, 88.7387, 366, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,40, 144, 108, 75, 354, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,41, 78, 55, 70.5128, 365, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,42, 112, 102, 91.0714, 364, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,43, 134, 49, 36.5672, 363, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,44, 2421, 1462, 60.3883, 367, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,45, 1479, 909, 61.4604, 348, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,46, 949, 503, 53.0032, 370, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,47, 669, 453, 67.713, 346, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,48, 583, 487, 83.5334, 357, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,49, 1098, 1018, 92.714, 354, 9
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 11, 7, 63.6364, 358, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 33, 31, 93.9394, 359, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 218, 218, 100, 354, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 252, 247, 98.0159, 351, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 576, 571, 99.1319, 361, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 505, 504, 99.802, 328, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 883, 877, 99.3205, 346, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 1339, 1228, 91.7102, 357, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 1646, 1516, 92.1021, 349, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 564, 426, 75.5319, 316, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 1014, 905, 89.2505, 355, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 873, 778, 89.118, 357, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 929, 804, 86.5447, 362, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 293, 162, 55.2901, 346, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 305, 219, 71.8033, 325, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 68, 66, 97.0588, 343, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 51, 50, 98.0392, 344, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 54, 52, 96.2963, 357, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 18, 14, 77.7778, 329, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 159, 123, 77.3585, 348, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 202, 189, 93.5644, 322, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 464, 457, 98.4914, 359, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 1076, 1076, 100, 342, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 3291, 3222, 97.9034, 321, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 2443, 2256, 92.3455, 361, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,25, 1688, 1633, 96.7417, 367, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,26, 2567, 2520, 98.1691, 368, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,27, 2047, 1795, 87.6893, 323, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,28, 1168, 1151, 98.5445, 365, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,29, 2068, 2059, 99.5648, 340, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,30, 1291, 1257, 97.3664, 340, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,31, 1071, 1071, 100, 320, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,32, 405, 369, 91.1111, 311, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,33, 436, 404, 92.6606, 335, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,34, 574, 550, 95.8188, 352, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 353, 324, 91.7847, 365, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 808, 758, 93.8119, 341, 10
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 789, 704, 89.2269, 314, 10
