Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), diffusivity
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,49, 1211, 1111, 91.7424, 337, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 11, 7, 63.6364, 324, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 33, 31, 93.9394, 323, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 218, 218, 100, 327, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 252, 247, 98.0159, 321, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 576, 571, 99.1319, 318, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 505, 504, 99.802, 326, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 883, 877, 99.3205, 318, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 1339, 1228, 91.7102, 334, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 1646, 1516, 92.1021, 323, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 564, 426, 75.5319, 330, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 1014, 905, 89.2505, 325, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 873, 778, 89.118, 327, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 929, 804, 86.5447, 329, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 293, 162, 55.2901, 326, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 305, 219, 71.8033, 328, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 68, 66, 97.0588, 321, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 51, 50, 98.0392, 330, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 54, 52, 96.2963, 325, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 18, 14, 77.7778, 325, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 159, 123, 77.3585, 328, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 202, 189, 93.5644, 328, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 464, 457, 98.4914, 323, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 1076, 1076, 100, 314, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 3291, 3222, 97.9034, 338, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 2443, 2256, 92.3455, 322, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,25, 1688, 1633, 96.7417, 317, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,26, 2567, 2520, 98.1691, 328, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,27, 2046, 1795, 87.7322, 321, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,28, 1168, 1151, 98.5445, 327, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,29, 2068, 2059, 99.5648, 323, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,30, 1291, 1257, 97.3664, 318, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,31, 1071, 1071, 100, 326, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,32, 405, 369, 91.1111, 329, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,33, 436, 404, 92.6606, 318, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,34, 574, 550, 95.8188, 320, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 353, 324, 91.7847, 332, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 808, 758, 93.8119, 324, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 789, 704, 89.2269, 322, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,38, 681, 668, 98.091, 325, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,39, 222, 197, 88.7387, 326, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,40, 144, 108, 75, 329, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,41, 78, 55, 70.5128, 318, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,42, 112, 102, 91.0714, 327, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,43, 134, 49, 36.5672, 323, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,44, 2421, 1462, 60.3883, 324, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,45, 1479, 909, 61.4604, 313, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,46, 949, 503, 53.0032, 321, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,47, 669, 453, 67.713, 323, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,48, 583, 487, 83.5334, 327, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,49, 1098, 1018, 92.714, 316, DIFF_PM_G2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 12, 7, 58.3333, 454, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 36, 34, 94.4444, 456, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 249, 249, 100, 455, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 258, 253, 98.062, 442, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 653, 646, 98.928, 444, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 538, 536, 99.6283, 457, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 921, 915, 99.3485, 448, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 1461, 1349, 92.334, 446, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 1749, 1622, 92.7387, 445, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 623, 466, 74.7994, 434, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 1069, 957, 89.5229, 444, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 933, 830, 88.9603, 436, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 1000, 871, 87.1, 433, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 316, 184, 58.2278, 451, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 347, 252, 72.6225, 438, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 86, 84, 97.6744, 444, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 66, 64, 96.9697, 445, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 60, 58, 96.6667, 448, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 22, 18, 81.8182, 447, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 205, 162, 79.0244, 443, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 226, 210, 92.9204, 447, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 524, 516, 98.4733, 451, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 1136, 1136, 100, 443, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 3383, 3310, 97.8422, 437, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 2462, 2282, 92.6889, 439, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,25, 1707, 1639, 96.0164, 440, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,26, 2677, 2624, 98.0202, 439, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,27, 2132, 1887, 88.5084, 428, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,28, 1227, 1209, 98.533, 446, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,29, 2090, 2077, 99.378, 444, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,30, 1363, 1325, 97.212, 447, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,31, 1141, 1140, 99.9124, 451, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,32, 420, 382, 90.9524, 454, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,33, 470, 435, 92.5532, 445, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,34, 630, 604, 95.873, 447, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 412, 373, 90.534, 452, DIFF_WEICKERT
