Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), threshold
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,42, 2975, 2869, 96.437, 372, 0.000010
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,43, 2110, 1632, 77.346, 349, 0.000010
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,44, 11511, 7732, 67.1705, 368, 0.000010
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,45, 8227, 5755, 69.9526, 366, 0.000010
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,46, 5728, 3919, 68.4183, 352, 0.000010
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,47, 4928, 3955, 80.2557, 345, 0.000010
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,48, 4948, 4367, 88.2579, 356, 0.000010
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,49, 7230, 6756, 93.444, 360, 0.000010
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 11, 7, 63.6364, 344, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 33, 31, 93.9394, 343, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 218, 218, 100, 356, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 252, 247, 98.0159, 349, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 576, 571, 99.1319, 352, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 505, 504, 99.802, 351, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 883, 877, 99.3205, 367, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 1339, 1228, 91.7102, 355, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 1646, 1516, 92.1021, 353, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 564, 426, 75.5319, 357, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 1014, 905, 89.2505, 359, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 873, 778, 89.118, 357, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 929, 804, 86.5447, 362, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 293, 162, 55.2901, 360, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 305, 219, 71.8033, 342, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 68, 66, 97.0588, 360, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 51, 50, 98.0392, 355, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 54, 52, 96.2963, 353, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 18, 14, 77.7778, 358, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 159, 123, 77.3585, 351, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 202, 189, 93.5644, 350, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 464, 457, 98.4914, 355, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 1076, 1076, 100, 361, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 3291, 3222, 97.9034, 368, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 2443, 2256, 92.3455, 345, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,25, 1688, 1633, 96.7417, 348, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,26, 2567, 2520, 98.1691, 355, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,27, 2046, 1795, 87.7322, 354, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,28, 1168, 1151, 98.5445, 370, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,29, 2068, 2059, 99.5648, 365, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,30, 1291, 1257, 97.3664, 358, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,31, 1071, 1071, 100, 346, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,32, 405, 369, 91.1111, 360, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,33, 436, 404, 92.6606, 357, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,34, 574, 550, 95.8188, 347, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 353, 324, 91.7847, 358, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 808, 758, 93.8119, 343, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 789, 704, 89.2269, 348, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,38, 681, 668, 98.091, 341, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,39, 222, 197, 88.7387, 344, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,40, 144, 108, 75, 355, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,41, 78, 55, 70.5128, 356, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,42, 112, 102, 91.0714, 347, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,43, 134, 49, 36.5672, 353, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,44, 2421, 1462, 60.3883, 348, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,45, 1479, 909, 61.4604, 359, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,46, 949, 503, 53.0032, 357, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,47, 669, 453, 67.713, 341, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,48, 583, 487, 83.5334, 354, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,49, 1098, 1018, 92.714, 364, 0.000100
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 0, 0, -1, 361, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 0, 0, -1, 353, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 1, 1, 100, 359, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 2, 2, 100, 344, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 3, 3, 100, 362, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 4, 4, 100, 347, 0.001000
