Video, Frame ID, matches, match percent, time_ms, descriptor_channels
../Data/Video_Data/Tank_With_Pipe_2.mkv, 0, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 1, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 2, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 3, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 4, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 5, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 6, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 7, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 8, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 9, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 10, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 11, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 12, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 13, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 14, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 15, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 16, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 17, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 18, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 19, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 20, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 21, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 22, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 23, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 24, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 25, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 26, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 27, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 28, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 29, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 30, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 31, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 32, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 33, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 34, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 35, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 36, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 37, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 38, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 39, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 40, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 41, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 42, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 43, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 44, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 45, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 46, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 47, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 48, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 49, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 50, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 51, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 52, -1, -1, -1, 1
