Video, Frame ID, hole count, invalid_percentage, speckle_percentage, incomplete, time_spent_ms,  number_of_disparities
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,38, 3213, 13.2651, 99.6817, 1, 130, 16
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,39, 3315, 12.8515, 99.7305, 1, 132, 16
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,40, 3405, 13.1801, 99.7632, 1, 132, 16
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,41, 3208, 13.0272, 99.6995, 1, 161, 16
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,42, 3187, 12.9026, 99.6893, 1, 132, 16
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,43, 3190, 12.9858, 99.7216, 1, 126, 16
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,44, 3277, 12.6089, 99.7447, 1, 126, 16
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,45, 3295, 12.7004, 99.7458, 1, 126, 16
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,46, 3257, 12.695, 99.7027, 1, 146, 16
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,47, 3428, 12.3402, 99.8164, 1, 130, 16
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,48, 3352, 12.2774, 99.7352, 1, 130, 16
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,49, 3360, 12.2644, 99.6595, 1, 130, 16
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 3290, 14.9682, 94.3428, 1, 140, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 3360, 15.245, 94.4335, 1, 140, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 3367, 15.3236, 92.8668, 1, 140, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 3420, 15.9769, 92.5591, 1, 140, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,4, 3391, 15.8791, 92.9925, 1, 140, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,5, 2982, 20.8124, 89.0998, 1, 144, 32
